"Magalieskruin HS",99.76,1.14
"Lammers 1",99.7,1.45
"Casa Salice",99.79,1
StanleyPark,99.34,3.21
"La Camarque",99.79,1
"Grove Lane",99.79,1
"Grootnet Wipronet ",99.79,1
"Plotnet 33 Wipronet",99.74,1.25
"Watertoring Wipronet",99.79,1
"MHoog Wipronet",99.7,1.43
"Rooihuiskraal Estate",99.76,1.14
"Farm Inn East HS",99.78,1.05
"Luberon HS",99.79,1
"Cullinan HS",99.73,1.29
"Faerie Glen 5",99.77,1.11
"Waterlake Farm",99.75,1.2
Strubenkop,99.74,1.27
"Monument Park",99.79,1
"Laudium HS",99.29,3.4
Maxis,99.76,1.17
"Rooihuiskraal HS",95.94,19.63
Bronkhorstbaai,99.79,1
"Faerie Glen 1",99.77,1.08
SaartjiesNek,99.76,1.17
Baviaanspoort,99.79,1
"Brakfontein HS",99.77,1.13
"Murrayfield HS",99.24,3.67
"Vibro Rosslyn HS",99.79,1
"Rayton HS",98.35,8
"Pretoria Oos Hospitaal",99.79,1
"Wilgers 3 HS",99.75,1.18
"Lotus Gardens HS",99.76,1.17
"Bronkhorstspruit HS",99.79,1
"Cable View HS",99.67,1.57
"Farm Inn West HS",99.72,1.33
"Twin City",99.79,1
"Ekandastria HS",99.79,1
"Roodeplaat Intundla",99.79,1
"Refilwe HS",99.79,1
"Vibro Sandvlakte",99.79,1
"Faerie Glen 3",99.78,1.07
"Uitsig  HS",99.79,1
"Hercules East HS",99.79,1
"Faerie Glen 4",99.78,1.07
"Montana HS",99.77,1.08
"Sosh HS-007",98.45,7.5
"Amberfield HS",99.14,4.18
Kusile,99.79,1
"Gomes HS",99.79,1
"Mnandi HS",99.68,1.57
Swavelpoort,99.47,2.57
"Wapadrand HS",99.79,1
"Elardus Park HS",99.77,1.08
Vodacom,99.79,1
"Constantia Park HS",99.73,1.31
"Erasmusrand HS",99.77,1.11
"Temba Mast",99.76,1.14
"Wonderboom Nek HS",99.69,1.5
"Moreleta HS",99.73,1.27
"DerdePoort Waverley",99.79,1
"MenloPark / Lynwood",99.79,1
"Carina HS",99.79,1
"Heights HS",99.69,1.5
"Urologies HS",99.73,1.29
"French Street HS",99.73,1.29
"Wilgers 2 HS",99.74,1.25
"Trophy Medal Botique",99.73,1.29
"Wilgers 1 HS",99.79,1
"Kameelfontein HS",99.79,1
"Moloto HS",99.79,1
"Wrapsa HS",99.74,1.25
"St Georges HS",99.76,1.14
"Mooikloof 2",99,4.86
"Mooikloof 1",99.47,2.56
"Olympus EXT HS1",99.76,1.14
"Olympus Main HS",99.77,1.13
"Amanda Sig 1",99.79,1
"Wonderboom HS",99.79,1
"Vibro Laudium HS",99.72,1.33
"Loft Apartments HS",99.79,1
"CBD HS",99.79,1
"Chamboard HS",99.77,1.09
"GroenKloof KlapperKop",98.5,7.25
"Tulip HS",99.59,2
"Rykor HS",99.79,1
"Aspin HS",99.64,1.75
"Polaris HS",99.71,1.38
"Lyttelton HS",99.76,1.14
"Pieter Delport Meintjieskop",99.76,1.15
"Lammers 4",99.78,1.05
"Faerie Glen 2 (Koedoesnek)",99.69,1.5
"Lammers 3",99.77,1.08
"Lammers 2",99.69,1.5
Amsterdam,93.83,29.81
Balboa,99.28,3.48
Greenstone,99.25,3.63
Unknown,99.69,1.5
Bronbergcastle,99.76,1.14
"Witpoort Wipronet",99.79,1
"Laeveld HS",99.79,1
"Esteq Wipronet",99.79,1
"King's highway Wipronet ",99.79,1
"Edelweis Wipronet",99.79,1
"NG Kerk Wipronet",99.79,1
"Roodeplaat Wipronet",99.79,1
"Plotnet 51 (Riaan Tailor) Wipronet",99.83,0.83
"Morelleta Wipronet ",99.79,1
"Hoek Wipronet ",99.7,1.43
"Sosh HS-005",99.59,2
"Sosh HS-001",98.87,5.5
"Ben Goosen Wipronet",99.1,4.33
"Kitty Hawk Wipronet",99.79,1
"Salo de Swart (R 21) Wipronet",99.79,1
"Alpha Sand Wipronet",99.79,1
"Sosh HS-006",99.69,1.5
"Stinkfinger HS",99.79,1
Babelegi,93.39,32
"Amanda Sig 2",99.79,1
"Muniforum ",97.32,13
"Sosh HS-002",99.79,1
"Sosh HS-003",99.59,2
"ATTR HS-002",86.16,67
"ATTR HS-001",99.59,2
"Mamelodi CC",99.69,1.5
"Mame HS-001",99.69,1.5
"Church Square",99.79,1
"Sosh HS-010",99.79,1
"Sosh HS-008",99.17,4
"Sosh HS-011",99.38,3
"MOUNTAIN VIEW HS",99.79,1
"Boardwalk Heights",99.79,1
"Gerhard Straat",99.59,2
"Janelda Wipronet ",99.79,1
"Lombardy Estate",99.79,1
"Little Eden Wipronet",99.79,1
"Burnett HS",99.79,1
"Bapsfontein Wipronet",99.79,1
"Alexandria Mall",95.04,24
"Bronkhorspruit Silos Wipronet ",99.79,1
"Rhenosterkop Wipronet ",98.16,8.89
"Hebsiba Wipronet ",98.39,7.8
"Schanskop Wipronet ",99.09,4.4
"Wapadrand Wipronet ",99.74,1.27
"Waverly Wipronet ",99.64,1.75
"Klapperkop HS",99.79,1
"Waverley HS",99.79,1
Harties,99.38,3
Teraco,99.59,2
"Sosh CC",98.55,7
"Lemon Tree Estate",98.67,6.4
"LGR Wipronet ",100,0
LandRover,98.66,6.5
"GreenSands Wipronet",99.79,1
"Delmas (Schoeman) Silos Wipronet",99.79,1
"Johan Claasens Wipronet",99.59,2
"Zwavelsnest Wipronet",99.69,1.5
"Van Wyk Silos",99.64,1.75
"Grand Central",99.79,1
"Mooikloof Country Club",99.79,1
Vlakfontein,99.79,1
Kannemeyer,99.79,1
"Mame HS-004",98.97,5
"Bultfontein HS",99,4.86
"Hoewe HS",99.76,1.17
"Country Mushroom",99.79,1
"Bastille Estate",99.79,1
"Sontonga Mall",99.17,4
"Heartfelt Arena",99.79,1
"Hannes House",97.93,10
"Olympus Wipronet (Danie de Swart)",99.79,1
"Equestria River Estate",99.79,1
"Windgate HS",99.69,1.5
